,CUVA,CUVA1,Clip
,CUVA,CUVA10,Clip
,CUVA,CUVA100,Clip
,CUVA,CUVA101,Full
,CUVA,CUVA102,Clip
,CUVA,CUVA103,Full
,CUVA,CUVA104,Clip
,CUVA,CUVA105,Clip
,CUVA,CUVA106,Full
,CUVA,CUVA107,Clip
,CUVA,CUVA108,Clip
,CUVA,CUVA109,Full
,CUVA,CUVA11,Full
,CUVA,CUVA110,Full
,CUVA,CUVA111,Clip
,CUVA,CUVA112,Clip
,CUVA,CUVA113,Clip
,CUVA,CUVA114,Clip
,CUVA,CUVA115,Clip
,CUVA,CUVA116,Full
,CUVA,CUVA117,Clip
,CUVA,CUVA118,Clip
,CUVA,CUVA119,Full
,CUVA,CUVA12,Clip
,CUVA,CUVA120,Clip
,CUVA,CUVA121,Clip
,CUVA,CUVA122,Clip
,CUVA,CUVA123,Full
,CUVA,CUVA124,Full
,CUVA,CUVA125,Full
,CUVA,CUVA126,Clip
,CUVA,CUVA127,Full
,CUVA,CUVA128,Clip
,CUVA,CUVA129,Clip
,CUVA,CUVA13,Clip
,CUVA,CUVA130,Clip
,CUVA,CUVA131,Clip
,CUVA,CUVA132,Clip
,CUVA,CUVA133,Clip
,CUVA,CUVA134,Clip
,CUVA,CUVA135,Clip
,CUVA,CUVA136,Full
,CUVA,CUVA137,Clip
,CUVA,CUVA138,Clip
,CUVA,CUVA139,Full
,CUVA,CUVA14,Clip
,CUVA,CUVA140,Clip
,CUVA,CUVA141,Full
,CUVA,CUVA142,Clip
,CUVA,CUVA143,Clip
,CUVA,CUVA144,Clip
,CUVA,CUVA145,Clip
,CUVA,CUVA146,Clip
,CUVA,CUVA147,Full
,CUVA,CUVA148,Full
,CUVA,CUVA149,Clip
,CUVA,CUVA15,Clip
,CUVA,CUVA150,Clip
,CUVA,CUVA151,Full
,CUVA,CUVA152,Clip
,CUVA,CUVA153,Clip
,CUVA,CUVA154,Clip
,CUVA,CUVA155,Clip
,CUVA,CUVA156,Clip
,CUVA,CUVA157,Full
,CUVA,CUVA158,Full
,CUVA,CUVA159,Full
,CUVA,CUVA16,Clip
,CUVA,CUVA160,Clip
,CUVA,CUVA161,Clip
,CUVA,CUVA162,Clip
,CUVA,CUVA163,Clip
,CUVA,CUVA164,Full
,CUVA,CUVA165,Clip
,CUVA,CUVA166,Clip
,CUVA,CUVA167,Clip
,CUVA,CUVA168,Clip
,CUVA,CUVA169,Full
,CUVA,CUVA17,Clip
,CUVA,CUVA170,Full
,CUVA,CUVA171,Full
,CUVA,CUVA172,Clip
,CUVA,CUVA173,Full
,CUVA,CUVA174,Full
,CUVA,CUVA175,Clip
,CUVA,CUVA176,Clip
,CUVA,CUVA177,Clip
,CUVA,CUVA178,Full
,CUVA,CUVA179,Clip
,CUVA,CUVA18,Clip
,CUVA,CUVA180,Clip
,CUVA,CUVA181,Clip
,CUVA,CUVA182,Clip
,CUVA,CUVA183,Clip
,CUVA,CUVA184,Full
,CUVA,CUVA185,Full
,CUVA,CUVA186,Full
,CUVA,CUVA187,Full
,CUVA,CUVA188,Full
,CUVA,CUVA189,Clip
,CUVA,CUVA19,Clip
,CUVA,CUVA190,Clip
,CUVA,CUVA191,Clip
,CUVA,CUVA192,Clip
,CUVA,CUVA193,Clip
,CUVA,CUVA194,Clip
,CUVA,CUVA195,Clip
,CUVA,CUVA196,Clip
,CUVA,CUVA197,Full
,CUVA,CUVA198,Clip
,CUVA,CUVA199,Full
,CUVA,CUVA2,Clip
,CUVA,CUVA20,Clip
,CUVA,CUVA200,Full
,CUVA,CUVA201,Full
,CUVA,CUVA202,Full
,CUVA,CUVA203,Clip
,CUVA,CUVA204,Clip
,CUVA,CUVA205,Clip
,CUVA,CUVA206,Clip
,CUVA,CUVA207,Clip
,CUVA,CUVA208,Full
,CUVA,CUVA209,Full
,CUVA,CUVA21,Full
,CUVA,CUVA210,Full
,CUVA,CUVA211,Clip
,CUVA,CUVA212,Full
,CUVA,CUVA213,Clip
,CUVA,CUVA214,Clip
,CUVA,CUVA215,Full
,CUVA,CUVA216,Full
,CUVA,CUVA217,Full
,CUVA,CUVA218,Clip
,CUVA,CUVA219,Clip
